City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,7.68,53,18,4.48,NZ,1715070449
1,port-aux-francais,-49.35,70.2167,6.27,82,71,14.2,TF,1715070450
2,adamstown,-25.066,-130.1015,21.76,78,73,7.83,PN,1715070450
3,albany,42.6526,-73.7562,12.52,74,0,0.45,US,1715070450
4,stanley,54.868,-1.6985,10.77,92,75,2.57,GB,1715070450
5,longyearbyen,78.2186,15.6401,-1.09,74,75,0.0,SJ,1715070450
6,hilo,19.7297,-155.09,21.25,95,100,3.09,US,1715070325
7,la rinconada,37.4873,-5.9826,20.8,52,0,3.09,ES,1715070451
8,port blair,11.6667,92.75,34.02,52,40,3.09,IN,1715070451
9,praia da vitoria,38.7333,-27.0667,17.09,94,40,5.18,PT,1715070451
10,grytviken,-54.2811,-36.5092,-0.39,87,86,2.48,GS,1715070451
11,haiku-pauwela,20.9219,-156.3051,23.36,77,40,6.69,US,1715070452
12,blackmans bay,-43.0167,147.3167,13.07,81,100,0.93,AU,1715070452
13,vadso,70.0744,29.7487,-0.51,93,40,6.69,NO,1715070453
14,iqaluit,63.7506,-68.5145,-9.15,78,0,4.63,CA,1715070453
15,puerto ayora,-0.7393,-90.3518,23.08,97,8,2.45,EC,1715070453
16,afaahiti,-17.75,-149.2833,25.93,85,58,9.7,PF,1715070454
17,ola,59.5833,151.2833,3.41,95,96,2.66,RU,1715070454
18,beipiao,41.7919,120.7792,24.09,15,1,6.31,CN,1715070454
19,ushuaia,-54.8,-68.3,0.81,86,40,2.06,AR,1715070454
20,constitucion,-35.3333,-72.4167,12.78,89,100,10.75,CL,1715070454
21,torghay,49.6339,63.4981,19.24,34,0,4.88,KZ,1715070455
22,talnakh,69.4865,88.3972,-5.44,88,100,2.49,RU,1715070455
23,whitehorse,60.7161,-135.0538,1.43,77,40,5.66,CA,1715070455
24,puerto natales,-51.7236,-72.4875,-3.01,85,100,0.97,CL,1715070456
25,college,64.8569,-147.8028,0.99,90,75,3.09,US,1715070407
26,kutum,14.2,24.6667,32.49,11,91,6.85,SD,1715070456
27,sao francisco de assis,-29.5503,-55.1311,23.83,57,100,6.86,BR,1715070456
28,mabaruma,8.2,-59.7833,23.92,94,100,0.4,GY,1715070457
29,naberera,-4.2,36.9333,18.65,89,100,3.85,TZ,1715070457
30,hammerfest,70.6634,23.6821,0.25,69,20,2.06,NO,1715070457
31,pinhao,-25.6956,-51.6597,14.69,90,0,1.48,BR,1715070458
32,invercargill,-46.4,168.35,11.12,89,45,2.24,NZ,1715070458
33,borisoglebskiy,57.2586,39.1508,5.31,44,100,4.92,RU,1715070458
34,manapparai,10.6,78.4167,40.48,33,5,2.55,IN,1715070459
35,west island,-12.1568,96.8225,28.99,74,75,8.75,CC,1715070459
36,avarua,-21.2078,-159.775,27.03,89,75,2.57,CK,1715070459
37,kavieng,-2.5744,150.7967,29.12,74,100,2.0,PG,1715070459
38,edinburgh of the seven seas,-37.0676,-12.3116,14.67,72,82,11.89,SH,1715070459
39,tiksi,71.6872,128.8694,-0.21,98,100,9.28,RU,1715070460
40,geraldton,-28.7667,114.6,23.23,49,0,9.26,AU,1715070460
41,oum hadjer,13.2954,19.6966,37.9,9,17,7.45,TD,1715070460
42,kruisfontein,-34.0033,24.7314,23.82,43,18,2.86,ZA,1715070460
43,shiqian,27.5225,108.2281,20.54,88,100,0.22,CN,1715070460
44,ilulissat,69.2167,-51.1,-6.99,63,100,6.69,GL,1715070461
45,yellowknife,62.456,-114.3525,8.56,75,40,5.66,CA,1715070353
46,badger,64.8,-147.5333,0.95,92,40,3.09,US,1715070411
47,port elizabeth,-33.918,25.5701,25.05,68,0,3.6,ZA,1715070461
48,bilibino,68.0546,166.4372,-2.49,91,64,0.96,RU,1715070461
49,nalut,31.8685,10.9812,26.9,20,85,11.39,LY,1715070462
50,val-des-monts,45.6501,-75.666,8.78,76,0,1.81,CA,1715070462
51,amga,60.8953,131.9608,13.94,49,100,4.71,RU,1715070462
52,arraial do cabo,-22.9661,-42.0278,23.59,88,0,9.21,BR,1715070462
53,shimoda,34.6667,138.95,21.17,96,100,10.48,JP,1715070463
54,port mathurin,-19.6833,63.4167,25.58,72,94,12.78,MU,1715070463
55,solnechnyy,50.7214,136.6319,9.46,33,1,4.01,RU,1715070463
56,sitka,57.0531,-135.33,5.94,81,75,3.6,US,1715070464
57,yaren,-0.5472,166.916,29.15,72,55,4.97,NR,1715070464
58,hawaiian paradise park,19.5933,-154.9731,21.13,96,100,3.09,US,1715070464
59,punta arenas,-53.15,-70.9167,1.06,93,40,2.57,CL,1715070464
60,carnarvon,-24.8667,113.6333,24.02,43,0,8.53,AU,1715070464
61,margaret river,-33.95,115.0667,21.75,49,92,4.57,AU,1715070182
62,dalandzadgad,43.5708,104.425,25.13,11,15,4.02,MN,1715070465
63,tadine,-21.55,167.8833,21.21,76,0,4.36,NC,1715070465
64,kingston,17.997,-76.7936,25.09,93,0,1.12,JM,1715070465
65,bechar,31.6167,-2.2167,26.18,13,0,4.12,DZ,1715070465
66,lebu,-37.6167,-73.65,9.24,74,99,4.63,CL,1715070466
67,preobrazheniye,42.9019,133.9064,4.15,94,100,3.89,RU,1715070466
68,lubango,-14.9172,13.4925,21.97,40,2,1.67,AO,1715070466
69,snoqualmie,47.5287,-121.8254,7.76,96,100,1.34,US,1715070467
70,raipur,21.2333,81.6333,37.08,28,20,7.72,IN,1715070467
71,road town,18.4167,-64.6167,25.6,83,24,5.8,VG,1715070467
72,dryden,49.7833,-92.7503,10.16,53,0,4.12,CA,1715070468
73,taoudenni,22.6783,-3.9836,32.42,7,6,2.21,ML,1715070468
74,georgetown,6.8045,-58.1553,26.16,89,100,2.48,GY,1715070468
75,cheney,47.4874,-117.5758,6.01,78,20,5.66,US,1715070373
76,kaspiyskiy,45.3929,47.3707,18.18,38,100,4.44,RU,1715070468
77,ouadda,8.0777,22.4007,36.53,24,53,2.39,CF,1715070469
78,mejit,10.2753,170.8646,27.84,79,99,8.89,MH,1715070469
79,fairfax,38.8462,-77.3064,19.36,89,100,0.45,US,1715070470
80,pugachev,52.0133,48.8025,18.7,54,100,8.15,RU,1715070470
81,bethel,41.3712,-73.414,15.88,82,0,0.0,US,1715070470
82,wailua homesteads,22.0669,-159.378,22.44,87,100,7.2,US,1715070470
83,vilyuchinsk,52.9306,158.4028,4.15,83,50,2.34,RU,1715070470
84,princeville,45.7668,-61.2985,9.36,98,100,4.12,CA,1715070471
85,paracuru,-3.41,-39.0306,26.17,93,69,3.38,BR,1715070471
86,kibuye,-2.0597,29.3482,22.64,71,32,0.38,RW,1715070471
87,hamilton,43.2334,-79.9496,10.37,68,0,4.12,CA,1715070445
88,camana,-16.6228,-72.7111,19.18,91,91,2.83,PE,1715070472
89,colonia,40.5746,-74.3021,17.23,86,0,2.06,US,1715070472
90,ancud,-41.8697,-73.8203,5.97,84,91,2.78,CL,1715070472
91,namibe,-15.1961,12.1522,25.95,55,0,3.28,AO,1715070472
92,mount isa,-20.7333,139.5,26.87,32,10,3.6,AU,1715070473
93,madinat ash shamal,26.1293,51.2009,33.13,48,0,3.69,QA,1715070473
94,naracoorte,-36.9579,140.7383,15.52,48,0,2.87,AU,1715070473
95,quang ngai,15.1167,108.8,32.91,54,98,5.23,VN,1715070473
96,lautoka,-17.6167,177.4667,25.92,83,75,3.6,FJ,1715070474
97,nichinan,31.6,131.3667,23.82,62,100,5.03,JP,1715070474
98,gadzhiyevo,69.2551,33.3362,-0.68,67,86,8.64,RU,1715070474
99,isangel,-19.55,169.2667,23.15,80,92,5.24,VU,1715070474
100,villa gesell,-37.2639,-56.973,16.14,93,100,6.68,AR,1715070475
101,nuuk,64.1835,-51.7216,-2.66,68,0,3.09,GL,1715070475
102,whitecourt,54.1502,-115.6855,6.28,90,100,6.59,CA,1715070475
103,anadyr,64.75,177.4833,-4.72,93,0,3.0,RU,1715070475
104,bredasdorp,-34.5322,20.0403,19.52,50,36,1.12,ZA,1715070475
105,veinticinco de mayo,-35.4323,-60.1727,13.88,100,100,1.34,AR,1715070476
106,ambon,-3.6954,128.1814,29.08,79,40,4.63,ID,1715070476
107,keflavik,64.0049,-22.5624,5.24,75,75,5.66,IS,1715070476
108,hermanus,-34.4187,19.2345,20.45,77,84,2.87,ZA,1715070476
109,nanakuli,21.3906,-158.1547,22.97,78,40,1.54,US,1715070477
110,cody,44.5263,-109.0565,7.36,37,0,6.69,US,1715070477
111,anloga,5.7947,0.8973,29.24,76,100,2.63,GH,1715070477
112,mae hong son,19.3003,97.9685,38.08,32,40,1.54,TH,1715070478
113,utrik,11.2278,169.8474,27.44,80,94,7.64,MH,1715070478
114,vorkuta,67.5,64.0,-6.05,80,100,4.02,RU,1715070478
115,selfoss,63.9331,-20.9971,3.91,73,100,7.93,IS,1715070478
116,daru,-9.0763,143.2092,26.73,87,100,7.12,PG,1715070479
117,sal rei,16.1833,-22.9167,19.11,94,20,0.0,CV,1715070479
118,al fulah,11.7329,28.3579,37.08,10,3,10.48,SD,1715070479
119,camayenne,9.535,-13.6878,29.05,84,40,2.06,GN,1715070479
120,brookings,44.3114,-96.7984,13.0,95,100,8.23,US,1715070479
121,dondo,-19.6094,34.7431,26.73,57,0,1.2,MZ,1715070480
122,ribeira grande,38.5167,-28.7,18.22,94,40,6.71,PT,1715070480
123,vorgashor,67.5833,63.95,-6.22,80,100,4.21,RU,1715070480
124,chimoio,-19.1164,33.4833,20.92,83,40,1.65,MZ,1715070480
125,kourou,5.1552,-52.6478,26.03,94,100,3.73,GF,1715070481
126,crane,31.3974,-102.3501,21.9,23,13,3.4,US,1715070481
127,atafu village,-8.5421,-172.5159,29.87,73,100,4.92,TK,1715070481
128,smithers,54.7804,-127.1743,1.18,75,0,0.0,CA,1715070481
129,egersund,58.4513,5.9997,13.94,59,99,2.47,NO,1715070481
130,uturoa,-16.7333,-151.4333,27.86,80,12,8.59,PF,1715070482
131,sechura,-5.5569,-80.8222,20.61,79,97,6.33,PE,1715070482
132,newman,37.3138,-121.0208,12.38,85,26,0.89,US,1715070264
133,dunedin,-45.8742,170.5036,9.33,77,51,0.45,NZ,1715070483
134,sao jose do rio pardo,-21.5956,-46.8886,16.17,88,23,2.71,BR,1715070483
135,ngorongoro,-3.2397,35.4875,13.91,91,100,2.74,TZ,1715070483
136,mykolayiv,46.9659,31.9974,17.84,48,17,8.84,UA,1715070483
137,porto novo,17.0197,-25.0647,21.0,68,4,2.65,CV,1715070484
138,dudinka,69.4058,86.1778,-5.18,87,100,4.02,RU,1715070484
139,ribadesella,43.4614,-5.0596,15.53,72,4,2.41,ES,1715070484
140,mboursou lere,9.7639,14.1539,36.33,19,100,2.42,TD,1715070485
141,sambava,-14.2667,50.1667,26.7,74,99,6.33,MG,1715070485
142,tabuk,17.4189,121.4443,36.87,29,13,6.39,PH,1715070485
143,kodiak,57.79,-152.4072,4.73,87,100,4.12,US,1715070486
144,al ghayzah,16.2079,52.176,33.27,61,12,7.28,YE,1715070486
145,thompson,55.7435,-97.8558,5.09,75,20,4.12,CA,1715070486
146,belmonte,-15.8631,-38.8828,24.7,85,4,3.26,BR,1715070486
147,mirzapur,25.15,82.5833,34.98,15,22,5.8,IN,1715070487
148,nemuro,43.3236,145.575,7.15,100,100,4.09,JP,1715070487
149,bandar labuan,5.2888,115.2692,30.2,79,20,0.51,MY,1715070488
150,al marj,32.488,20.8317,22.96,27,34,2.87,LY,1715070488
151,anna regina,7.2644,-58.5077,25.96,87,100,3.16,GY,1715070488
152,cockburn town,21.4612,-71.1419,25.01,84,82,8.02,TC,1715070488
153,onguday,50.75,86.15,18.1,46,14,1.97,RU,1715070488
154,boguchany,58.3814,97.4531,6.03,55,100,4.02,RU,1715070412
155,palikir - national government center,6.9248,158.1611,27.41,78,100,3.09,FM,1715070489
156,enewetak,11.3474,162.3373,27.86,78,97,7.97,MH,1715070489
157,pisco,-13.7,-76.2167,19.03,88,100,1.54,PE,1715070490
158,sisimiut,66.9395,-53.6735,-7.88,78,66,3.65,GL,1715070491
159,horsham,51.064,-0.3272,15.01,74,0,3.6,GB,1715070491
160,kapuskasing,49.4169,-82.4331,1.05,93,0,0.51,CA,1715070491
161,la ronge,55.1001,-105.2842,6.14,87,100,3.6,CA,1715070492
162,port douglas,-16.4833,145.4667,24.74,82,54,5.66,AU,1715070492
163,taltal,-25.4,-70.4833,14.71,79,100,0.25,CL,1715070492
164,cape coast,5.1053,-1.2466,28.04,80,100,2.13,GH,1715070493
165,el granada,37.5027,-122.4694,12.97,83,0,5.66,US,1715070493
166,ca mau,9.1769,105.15,35.94,40,59,4.61,VN,1715070493
167,bati,11.1833,40.0167,25.06,56,18,3.43,ET,1715070494
168,kiffa,16.6166,-11.4045,31.87,9,0,5.5,MR,1715070494
169,reggane,26.7158,0.1714,33.95,13,0,3.85,DZ,1715070494
170,shahr-e babak,30.1165,55.1186,24.24,26,0,9.18,IR,1715070494
171,amarpur,25.0333,86.9,37.05,30,0,4.54,IN,1715070495
172,susuman,62.7833,148.1667,3.88,61,94,1.79,RU,1715070495
173,mandalgovi,45.7625,106.2708,25.84,11,0,7.62,MN,1715070495
174,codrington,-38.2667,141.9667,12.37,90,0,3.91,AU,1715070495
175,susanville,40.4163,-120.653,5.51,75,95,0.45,US,1715070496
176,autazes,-3.5797,-59.1306,23.45,100,97,1.22,BR,1715070497
177,wanning,18.8003,110.3967,30.5,62,67,3.93,CN,1715070497
178,guerrero negro,27.9769,-114.0611,14.73,82,0,5.25,MX,1715070497
179,ulladulla,-35.35,150.4667,15.62,79,100,2.4,AU,1715070498
180,hasaki,35.7333,140.8333,19.22,88,100,12.5,JP,1715070498
181,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.98,PT,1715070499
182,fortaleza,-3.7227,-38.5247,26.23,94,20,3.09,BR,1715070418
183,cruzeiro do sul,-29.5128,-51.9853,22.51,94,8,2.22,BR,1715070500
184,merlo,-32.3429,-65.014,12.32,87,3,2.32,AR,1715070500
185,sumbawa besar,-8.5,117.4333,29.57,74,74,1.68,ID,1715070500
186,chibougamau,49.9168,-74.3659,1.79,87,75,3.09,CA,1715070500
187,olonkinbyen,70.9221,-8.7187,-0.79,99,100,4.64,SJ,1715070501
188,lorengau,-2.0226,147.2712,28.0,82,96,2.49,PG,1715070501
189,puerto baquerizo moreno,-0.9,-89.6,22.88,90,45,3.59,EC,1715070501
190,amarante do maranhao,-5.5667,-46.7422,20.56,81,75,1.54,BR,1715070502
191,luena,-11.7833,19.9167,23.5,48,8,1.95,AO,1715070502
